Etat de mer (9s ; 3m); Stratégie: amortissement avec écrêtage. 
Production sur 1000 s, Echantillonnage : 100 ms 
 
t (s) 	 Eta (m) 	 Theta (rad) 	 Omega (rad/s) 	 C (N.m) 
000.0  	 -0.85403  	 00.00000  	 00.00000  	 -0000000 
000.1  	 -0.81576  	 -0.00101  	 -0.01014  	 -0040577 
000.2  	 -0.76454  	 -0.00277  	 -0.01752  	 -0070062 
000.3  	 -0.70277  	 -0.00497  	 -0.02202  	 -0088063 
000.4  	 -0.63297  	 -0.00734  	 -0.02368  	 -0094709 
000.5  	 -0.55761  	 -0.00960  	 -0.02265  	 -0090605 
000.6  	 -0.47901  	 -0.01152  	 -0.01919  	 -0076773 
000.7  	 -0.39924  	 -0.01288  	 -0.01365  	 -0054591 
000.8  	 -0.32002  	 -0.01353  	 -0.00643  	 -0025725 
000.9  	 -0.24270  	 -0.01333  	 00.00199  	 00007955 
001.0  	 -0.16824  	 -0.01222  	 00.01111  	 00044447 
001.1  	 -0.09724  	 -0.01017  	 00.02043  	 00081708 
001.2  	 -0.02994  	 -0.00723  	 00.02943  	 00117720 
001.3  	 00.03367  	 -0.00347  	 00.03764  	 00150572 
001.4  	 00.09380  	 00.00100  	 00.04463  	 00178519 
001.5  	 00.15078  	 00.00600  	 00.05001  	 00200042 
001.6  	 00.20494  	 00.01134  	 00.05347  	 00213894 
001.7  	 00.25656  	 00.01682  	 00.05478  	 00219139 
001.8  	 00.30580  	 00.02220  	 00.05379  	 00215176 
001.9  	 00.35266  	 00.02725  	 00.05044  	 00201755 
002.0  	 00.39695  	 00.03172  	 00.04474  	 00178974 
002.1  	 00.43828  	 00.03540  	 00.03682  	 00147269 
002.2  	 00.47608  	 00.03809  	 00.02685  	 00107387 
002.3  	 00.50965  	 00.03960  	 00.01509  	 00060355 
002.4  	 00.53820  	 00.03978  	 00.00186  	 00007432 
002.5  	 00.56089  	 00.03853  	 -0.01248  	 -0049940 
002.6  	 00.57693  	 00.03578  	 -0.02755  	 -0110188 
002.7  	 00.58561  	 00.03149  	 -0.04292  	 -0171663 
002.8  	 00.58637  	 00.02567  	 -0.05817  	 -0232689 
002.9  	 00.57880  	 00.01838  	 -0.07290  	 -0291612 
003.0  	 00.56271  	 00.00971  	 -0.08671  	 -0346843 
003.1  	 00.53813  	 -0.00021  	 -0.09922  	 -0396892 
003.2  	 00.50525  	 -0.01122  	 -0.11010  	 -0440402 
003.3  	 00.46447  	 -0.02313  	 -0.11904  	 -0476165 
003.4  	 00.41634  	 -0.03571  	 -0.12579  	 -0503148 
003.5  	 00.36148  	 -0.04872  	 -0.13012  	 -0520494 
003.6  	 00.30062  	 -0.06191  	 -0.13188  	 -0527539 
003.7  	 00.23449  	 -0.07500  	 -0.13095  	 -0523810 
003.8  	 00.16385  	 -0.08773  	 -0.12726  	 -0509032 
003.9  	 00.08940  	 -0.09981  	 -0.12078  	 -0483133 
004.0  	 00.01187  	 -0.11096  	 -0.11156  	 -0446243 
004.1  	 -0.06808  	 -0.12093  	 -0.09967  	 -0398699 
004.2  	 -0.14976  	 -0.12946  	 -0.08526  	 -0341043 
004.3  	 -0.23247  	 -0.13631  	 -0.06850  	 -0274019 
004.4  	 -0.31545  	 -0.14127  	 -0.04964  	 -0198569 
004.5  	 -0.39783  	 -0.14417  	 -0.02896  	 -0115823 
004.6  	 -0.47864  	 -0.14484  	 -0.00677  	 -0027083 
004.7  	 -0.55677  	 -0.14319  	 00.01655  	 00066191 
004.8  	 -0.63095  	 -0.13913  	 00.04060  	 00162410 
004.9  	 -0.69976  	 -0.13263  	 00.06497  	 00259877 
005.0  	 -0.76170  	 -0.12371  	 00.08921  	 00356825 
005.1  	 -0.81514  	 -0.11243  	 00.11286  	 00451444 
005.2  	 -0.85849  	 -0.09888  	 00.13548  	 00541924 
005.3  	 -0.89020  	 -0.08322  	 00.15662  	 00626486 
005.4  	 -0.90885  	 -0.06563  	 00.17585  	 00703419 
005.5  	 -0.91325  	 -0.04635  	 00.19278  	 00771112 
005.6  	 -0.90254  	 -0.02565  	 00.20702  	 00828090 
005.7  	 -0.87619  	 -0.00382  	 00.21826  	 00873040 
005.8  	 -0.83413  	 00.01880  	 00.22621  	 00904843 
005.9  	 -0.77672  	 00.04186  	 00.23065  	 00922599 
006.0  	 -0.70481  	 00.06500  	 00.23141  	 00925649 
006.1  	 -0.61968  	 00.08784  	 00.22840  	 00913601 
006.2  	 -0.52300  	 00.11000  	 00.22159  	 00886342 
006.3  	 -0.41681  	 00.13110  	 00.21101  	 00844050 
006.4  	 -0.30334  	 00.15078  	 00.19680  	 00787199 
006.5  	 -0.18502  	 00.16870  	 00.17914  	 00716553 
006.6  	 -0.06427  	 00.18453  	 00.15829  	 00633154 
006.7  	 00.05650  	 00.19798  	 00.13458  	 00538302 
006.8  	 00.17508  	 00.20882  	 00.10838  	 00433526 
006.9  	 00.28947  	 00.21683  	 00.08014  	 00320543 
007.0  	 00.39798  	 00.22187  	 00.05031  	 00201224 
007.1  	 00.49924  	 00.22380  	 00.01939  	 00077540 
007.2  	 00.59220  	 00.22259  	 -0.01212  	 -0048477 
007.3  	 00.67615  	 00.21822  	 -0.04370  	 -0174787 
007.4  	 00.75063  	 00.21074  	 -0.07484  	 -0299377 
007.5  	 00.81544  	 00.20023  	 -0.10508  	 -0420309 
007.6  	 00.87050  	 00.18684  	 -0.13394  	 -0535744 
007.7  	 00.91582  	 00.17074  	 -0.16099  	 -0643975 
007.8  	 00.95143  	 00.15215  	 -0.18586  	 -0743446 
007.9  	 00.97730  	 00.13133  	 -0.20819  	 -0832767 
008.0  	 00.99333  	 00.10856  	 -0.22768  	 -0910722 
008.1  	 00.99933  	 00.08416  	 -0.24407  	 -0976280 
008.2  	 00.99497  	 00.05844  	 -0.25715  	 -1028597 
008.3  	 00.97991  	 00.03177  	 -0.26676  	 -1067021 
008.4  	 00.95375  	 00.00449  	 -0.27277  	 -1091093 
008.5  	 00.91614  	 -0.02302  	 -0.27514  	 -1100549 
008.6  	 00.86687  	 -0.05041  	 -0.27383  	 -1095324 
008.7  	 00.80595  	 -0.07730  	 -0.26889  	 -1075548 
008.8  	 00.73365  	 -0.10334  	 -0.26039  	 -1041545 
008.9  	 00.65061  	 -0.12818  	 -0.24846  	 -0993831 
009.0  	 00.55784  	 -0.15151  	 -0.23328  	 -0933109 
009.1  	 00.45678  	 -0.17302  	 -0.21506  	 -0860258 
009.2  	 00.34924  	 -0.19242  	 -0.19408  	 -0776321 
009.3  	 00.23741  	 -0.20949  	 -0.17062  	 -0682492 
009.4  	 00.12371  	 -0.22399  	 -0.14502  	 -0580096 
009.5  	 00.01077  	 -0.23575  	 -0.11764  	 -0470562 
009.6  	 -0.09875  	 -0.24464  	 -0.08885  	 -0355405 
009.7  	 -0.20228  	 -0.25054  	 -0.05905  	 -0236193 
009.8  	 -0.29747  	 -0.25341  	 -0.02863  	 -0114521 
009.9  	 -0.38231  	 -0.25320  	 00.00200  	 00008011 
010.0  	 -0.45526  	 -0.24996  	 00.03246  	 00129827 
010.1  	 -0.51531  	 -0.24372  	 00.06235  	 00249396 
010.2  	 -0.56203  	 -0.23459  	 00.09131  	 00365244 
010.3  	 -0.59560  	 -0.22269  	 00.11900  	 00475980 
010.4  	 -0.61678  	 -0.20819  	 00.14507  	 00580299 
010.5  	 -0.62680  	 -0.19126  	 00.16925  	 00676996 
010.6  	 -0.62730  	 -0.17214  	 00.19124  	 00764972 
010.7  	 -0.62019  	 -0.15106  	 00.21081  	 00843240 
010.8  	 -0.60750  	 -0.12828  	 00.22773  	 00910930 
010.9  	 -0.59124  	 -0.10410  	 00.24182  	 00967291 
011.0  	 -0.57322  	 -0.07881  	 00.25293  	 01011701 
011.1  	 -0.55499  	 -0.05272  	 00.26092  	 01043667 
011.2  	 -0.53765  	 -0.02615  	 00.26571  	 01062837 
011.3  	 -0.52187  	 00.00058  	 00.26725  	 01069004 
011.4  	 -0.50781  	 00.02713  	 00.26553  	 01062120 
011.5  	 -0.49513  	 00.05319  	 00.26057  	 01042293 
011.6  	 -0.48310  	 00.07844  	 00.25245  	 01009804 
011.7  	 -0.47064  	 00.10256  	 00.24128  	 00965101 
011.8  	 -0.45648  	 00.12528  	 00.22720  	 00908810 
011.9  	 -0.43926  	 00.14633  	 00.21043  	 00841723 
012.0  	 -0.41771  	 00.16545  	 00.19120  	 00764800 
012.1  	 -0.39080  	 00.18242  	 00.16979  	 00679154 
012.2  	 -0.35782  	 00.19708  	 00.14651  	 00586035 
012.3  	 -0.31851  	 00.20925  	 00.12170  	 00486813 
012.4  	 -0.27313  	 00.21882  	 00.09574  	 00382952 
012.5  	 -0.22243  	 00.22572  	 00.06900  	 00275981 
012.6  	 -0.16769  	 00.22991  	 00.04187  	 00167465 
012.7  	 -0.11058  	 00.23138  	 00.01474  	 00058972 
012.8  	 -0.05309  	 00.23018  	 -0.01199  	 -0047962 
012.9  	 00.00261  	 00.22638  	 -0.03797  	 -0151860 
013.0  	 00.05434  	 00.22010  	 -0.06284  	 -0251341 
013.1  	 00.10007  	 00.21147  	 -0.08629  	 -0345141 
013.2  	 00.13809  	 00.20067  	 -0.10804  	 -0432143 
013.3  	 00.16716  	 00.18788  	 -0.12785  	 -0511395 
013.4  	 00.18659  	 00.17333  	 -0.14553  	 -0582126 
013.5  	 00.19633  	 00.15724  	 -0.16094  	 -0643756 
013.6  	 00.19704  	 00.13984  	 -0.17398  	 -0695903 
013.7  	 00.18997  	 00.12138  	 -0.18460  	 -0738382 
013.8  	 00.17699  	 00.10210  	 -0.19280  	 -0771200 
013.9  	 00.16039  	 00.08224  	 -0.19864  	 -0794543 
014.0  	 00.14278  	 00.06202  	 -0.20219  	 -0808764 
014.1  	 00.12689  	 00.04166  	 -0.20359  	 -0814357 
014.2  	 00.11538  	 00.02136  	 -0.20298  	 -0811937 
014.3  	 00.11064  	 00.00130  	 -0.20055  	 -0802211 
014.4  	 00.11463  	 -0.01834  	 -0.19649  	 -0785952 
014.5  	 00.12869  	 -0.03744  	 -0.19099  	 -0763966 
014.6  	 00.15349  	 -0.05587  	 -0.18427  	 -0737063 
014.7  	 00.18892  	 -0.07352  	 -0.17651  	 -0706035 
014.8  	 00.23409  	 -0.09031  	 -0.16791  	 -0671628 
014.9  	 00.28738  	 -0.10617  	 -0.15863  	 -0634521 
015.0  	 00.34650  	 -0.12106  	 -0.14883  	 -0595312 
015.1  	 00.40866  	 -0.13492  	 -0.13863  	 -0554505 
015.2  	 00.47071  	 -0.14773  	 -0.12813  	 -0512507 
015.3  	 00.52935  	 -0.15947  	 -0.11741  	 -0469620 
015.4  	 00.58131  	 -0.17012  	 -0.10651  	 -0426051 
015.5  	 00.62357  	 -0.17967  	 -0.09548  	 -0381913 
015.6  	 00.65351  	 -0.18810  	 -0.08431  	 -0337235 
015.7  	 00.66907  	 -0.19540  	 -0.07299  	 -0291976 
015.8  	 00.66890  	 -0.20155  	 -0.06151  	 -0246039 
015.9  	 00.65233  	 -0.20654  	 -0.04982  	 -0199280 
016.0  	 00.61951  	 -0.21032  	 -0.03788  	 -0151532 
016.1  	 00.57126  	 -0.21289  	 -0.02565  	 -0102614 
016.2  	 00.50911  	 -0.21420  	 -0.01309  	 -0052349 
016.3  	 00.43511  	 -0.21421  	 -0.00015  	 -0000582 
016.4  	 00.35171  	 -0.21289  	 00.01320  	 00052809 
016.5  	 00.26162  	 -0.21019  	 00.02697  	 00107897 
016.6  	 00.16766  	 -0.20608  	 00.04117  	 00164695 
016.7  	 00.07257  	 -0.20050  	 00.05579  	 00223141 
016.8  	 -0.02111  	 -0.19342  	 00.07077  	 00283089 
016.9  	 -0.11117  	 -0.18481  	 00.08608  	 00344304 
017.0  	 -0.19578  	 -0.17465  	 00.10161  	 00406450 
017.1  	 -0.27359  	 -0.16293  	 00.11727  	 00469088 
017.2  	 -0.34368  	 -0.14963  	 00.13292  	 00531678 
017.3  	 -0.40561  	 -0.13479  	 00.14839  	 00593578 
017.4  	 -0.45931  	 -0.11844  	 00.16351  	 00654051 
017.5  	 -0.50506  	 -0.10064  	 00.17807  	 00712278 
017.6  	 -0.54333  	 -0.08145  	 00.19184  	 00767362 
017.7  	 -0.57476  	 -0.06099  	 00.20459  	 00818352 
017.8  	 -0.60002  	 -0.03939  	 00.21606  	 00864258 
017.9  	 -0.61971  	 -0.01678  	 00.22602  	 00904072 
018.0  	 -0.63433  	 00.00664  	 00.23420  	 00936789 
018.1  	 -0.64420  	 00.03067  	 00.24036  	 00961439 
018.2  	 -0.64946  	 00.05510  	 00.24428  	 00977104 
018.3  	 -0.65000  	 00.07967  	 00.24574  	 00982951 
018.4  	 -0.64559  	 00.10413  	 00.24456  	 00978258 
018.5  	 -0.63580  	 00.12819  	 00.24061  	 00962435 
018.6  	 -0.62016  	 00.15157  	 00.23376  	 00935050 
018.7  	 -0.59814  	 00.17396  	 00.22396  	 00895852 
018.8  	 -0.56929  	 00.19508  	 00.21120  	 00844784 
018.9  	 -0.53326  	 00.21463  	 00.19550  	 00781998 
019.0  	 -0.48988  	 00.23233  	 00.17697  	 00707865 
019.1  	 -0.43921  	 00.24790  	 00.15574  	 00622974 
019.2  	 -0.38155  	 00.26111  	 00.13203  	 00528129 
019.3  	 -0.31749  	 00.27171  	 00.10608  	 00424339 
019.4  	 -0.24787  	 00.27953  	 00.07820  	 00312799 
019.5  	 -0.17377  	 00.28441  	 00.04872  	 00194870 
019.6  	 -0.09651  	 00.28621  	 00.01801  	 00072052 
019.7  	 -0.01754  	 00.28486  	 -0.01351  	 -0054046 
019.8  	 00.06156  	 00.28031  	 -0.04543  	 -0181739 
019.9  	 00.13916  	 00.27258  	 -0.07732  	 -0309298 
020.0  	 00.21364  	 00.26171  	 -0.10875  	 -0434981 
020.1  	 00.28343  	 00.24778  	 -0.13927  	 -0557065 
020.2  	 00.34708  	 00.23093  	 -0.16847  	 -0673874 
020.3  	 00.40327  	 00.21134  	 -0.19595  	 -0783804 
020.4  	 00.45085  	 00.18920  	 -0.22134  	 -0885344 
020.5  	 00.48889  	 00.16478  	 -0.24427  	 -0977097 
020.6  	 00.51667  	 00.13833  	 -0.26445  	 -1057793 
020.7  	 00.53369  	 00.11017  	 -0.28158  	 -1126312 
020.8  	 00.53967  	 00.08063  	 -0.29542  	 -1181690 
020.9  	 00.53459  	 00.05005  	 -0.30578  	 -1223138 
021.0  	 00.51864  	 00.01880  	 -0.31251  	 -1250051 
021.1  	 00.49226  	 -0.01275  	 -0.31551  	 -1262022 
021.2  	 00.45613  	 -0.04422  	 -0.31471  	 -1258852 
021.3  	 00.41115  	 -0.07523  	 -0.31014  	 -1240559 
021.4  	 00.35848  	 -0.10542  	 -0.30185  	 -1207389 
021.5  	 00.29947  	 -0.13441  	 -0.28995  	 -1159810 
021.6  	 00.23571  	 -0.16188  	 -0.27463  	 -1098521 
021.7  	 00.16897  	 -0.18749  	 -0.25611  	 -1024438 
021.8  	 00.10119  	 -0.21096  	 -0.23467  	 -0938686 
021.9  	 00.03442  	 -0.23202  	 -0.21064  	 -0842577 
022.0  	 -0.02924  	 -0.25046  	 -0.18440  	 -0737584 
022.1  	 -0.08770  	 -0.26609  	 -0.15633  	 -0625316 
022.2  	 -0.13894  	 -0.27878  	 -0.12687  	 -0507478 
022.3  	 -0.18113  	 -0.28842  	 -0.09646  	 -0385834 
022.4  	 -0.21267  	 -0.29498  	 -0.06554  	 -0262172 
022.5  	 -0.23233  	 -0.29844  	 -0.03456  	 -0138258 
022.6  	 -0.23927  	 -0.29883  	 -0.00395  	 -0015809 
022.7  	 -0.23314  	 -0.29624  	 00.02589  	 00103553 
022.8  	 -0.21413  	 -0.29078  	 00.05458  	 00218319 
022.9  	 -0.18293  	 -0.28261  	 00.08178  	 00327127 
023.0  	 -0.14081  	 -0.27189  	 00.10719  	 00428776 
023.1  	 -0.08952  	 -0.25883  	 00.13056  	 00522241 
023.2  	 -0.03125  	 -0.24366  	 00.15167  	 00606684 
023.3  	 00.03146  	 -0.22663  	 00.17036  	 00681456 
023.4  	 00.09582  	 -0.20797  	 00.18652  	 00746100 
023.5  	 00.15896  	 -0.18797  	 00.20009  	 00800344 
023.6  	 00.21801  	 -0.16686  	 00.21102  	 00844100 
023.7  	 00.27030  	 -0.14493  	 00.21936  	 00877448 
023.8  	 00.31344  	 -0.12241  	 00.22516  	 00900627 
023.9  	 00.34549  	 -0.09956  	 00.22850  	 00914019 
024.0  	 00.36504  	 -0.07661  	 00.22953  	 00918134 
024.1  	 00.37126  	 -0.05377  	 00.22840  	 00913586 
024.2  	 00.36399  	 -0.03124  	 00.22527  	 00901075 
024.3  	 00.34367  	 -0.00921  	 00.22034  	 00881365 
024.4  	 00.31137  	 00.01217  	 00.21381  	 00855257 
024.5  	 00.26871  	 00.03276  	 00.20589  	 00823572 
024.6  	 00.21773  	 00.05244  	 00.19678  	 00787119 
024.7  	 00.16082  	 00.07111  	 00.18667  	 00746687 
024.8  	 00.10055  	 00.08868  	 00.17575  	 00703013 
024.9  	 00.03955  	 00.10510  	 00.16419  	 00656776 
025.0  	 -0.01964  	 00.12032  	 00.15215  	 00608581 
025.1  	 -0.07471  	 00.13429  	 00.13974  	 00558950 
025.2  	 -0.12363  	 00.14700  	 00.12708  	 00508319 
025.3  	 -0.16484  	 00.15843  	 00.11426  	 00457035 
025.4  	 -0.19721  	 00.16856  	 00.10134  	 00405360 
025.5  	 -0.22010  	 00.17740  	 00.08837  	 00353474 
025.6  	 -0.23340  	 00.18493  	 00.07537  	 00301486 
025.7  	 -0.23742  	 00.19117  	 00.06236  	 00249447 
025.8  	 -0.23290  	 00.19610  	 00.04934  	 00197356 
025.9  	 -0.22088  	 00.19973  	 00.03630  	 00145181 
026.0  	 -0.20265  	 00.20206  	 00.02322  	 00092871 
026.1  	 -0.17963  	 00.20306  	 00.01009  	 00040368 
026.2  	 -0.15329  	 00.20276  	 -0.00309  	 -0012372 
026.3  	 -0.12506  	 00.20112  	 -0.01634  	 -0065371 
026.4  	 -0.09624  	 00.19816  	 -0.02965  	 -0118611 
026.5  	 -0.06797  	 00.19385  	 -0.04301  	 -0172028 
026.6  	 -0.04121  	 00.18822  	 -0.05637  	 -0225497 
026.7  	 -0.01666  	 00.18125  	 -0.06971  	 -0278830 
026.8  	 00.00515  	 00.17295  	 -0.08294  	 -0331768 
026.9  	 00.02391  	 00.16335  	 -0.09600  	 -0383983 
027.0  	 00.03944  	 00.15248  	 -0.10877  	 -0435075 
027.1  	 00.05167  	 00.14036  	 -0.12115  	 -0484580 
027.2  	 00.06061  	 00.12706  	 -0.13299  	 -0531978 
027.3  	 00.06626  	 00.11264  	 -0.14417  	 -0576699 
027.4  	 00.06864  	 00.09719  	 -0.15453  	 -0618138 
027.5  	 00.06768  	 00.08080  	 -0.16392  	 -0655667 
027.6  	 00.06329  	 00.06358  	 -0.17216  	 -0688653 
027.7  	 00.05531  	 00.04567  	 -0.17912  	 -0716471 
027.8  	 00.04357  	 00.02721  	 -0.18463  	 -0738525 
027.9  	 00.02785  	 00.00835  	 -0.18857  	 -0754264 
028.0  	 00.00801  	 -0.01073  	 -0.19080  	 -0763194 
028.1  	 -0.01604  	 -0.02985  	 -0.19123  	 -0764900 
028.2  	 -0.04426  	 -0.04883  	 -0.18976  	 -0759055 
028.3  	 -0.07644  	 -0.06746  	 -0.18636  	 -0745433 
028.4  	 -0.11219  	 -0.08556  	 -0.18098  	 -0723920 
028.5  	 -0.15088  	 -0.10292  	 -0.17363  	 -0694521 
028.6  	 -0.19169  	 -0.11936  	 -0.16434  	 -0657365 
028.7  	 -0.23358  	 -0.13468  	 -0.15318  	 -0612709 
028.8  	 -0.27532  	 -0.14870  	 -0.14023  	 -0560936 
028.9  	 -0.31555  	 -0.16126  	 -0.12564  	 -0502555 
029.0  	 -0.35286  	 -0.17222  	 -0.10955  	 -0438191 
029.1  	 -0.38580  	 -0.18143  	 -0.09215  	 -0368580 
029.2  	 -0.41300  	 -0.18880  	 -0.07364  	 -0294557 
029.3  	 -0.43322  	 -0.19422  	 -0.05426  	 -0217039 
029.4  	 -0.44540  	 -0.19765  	 -0.03425  	 -0137018 
029.5  	 -0.44877  	 -0.19904  	 -0.01388  	 -0055538 
029.6  	 -0.44281  	 -0.19838  	 00.00658  	 00026320 
029.7  	 -0.42735  	 -0.19569  	 00.02686  	 00107457 
029.8  	 -0.40252  	 -0.19102  	 00.04669  	 00186773 
029.9  	 -0.36876  	 -0.18444  	 00.06580  	 00263187 
030.0  	 -0.32679  	 -0.17605  	 00.08391  	 00335653 
030.1  	 -0.27757  	 -0.16597  	 00.10080  	 00403182 
030.2  	 -0.22222  	 -0.15435  	 00.11621  	 00464849 
030.3  	 -0.16197  	 -0.14136  	 00.12995  	 00519818 
030.4  	 -0.09812  	 -0.12717  	 00.14184  	 00567350 
030.5  	 -0.03191  	 -0.11200  	 00.15170  	 00606818 
030.6  	 00.03546  	 -0.09606  	 00.15943  	 00637716 
030.7  	 00.10290  	 -0.07957  	 00.16492  	 00659670 
030.8  	 00.16948  	 -0.06276  	 00.16811  	 00672446 
030.9  	 00.23443  	 -0.04586  	 00.16899  	 00675955 
031.0  	 00.29713  	 -0.02910  	 00.16756  	 00670256 
031.1  	 00.35711  	 -0.01271  	 00.16389  	 00655557 
031.2  	 00.41399  	 00.00309  	 00.15805  	 00632214 
031.3  	 00.46750  	 00.01811  	 00.15018  	 00600724 
031.4  	 00.51738  	 00.03216  	 00.14043  	 00561718 
031.5  	 00.56338  	 00.04505  	 00.12899  	 00515952 
031.6  	 00.60518  	 00.05666  	 00.11607  	 00464290 
031.7  	 00.64239  	 00.06685  	 00.10192  	 00407689 
031.8  	 00.67454  	 00.07553  	 00.08680  	 00347183 
031.9  	 00.70102  	 00.08263  	 00.07096  	 00283859 
032.0  	 00.72113  	 00.08810  	 00.05471  	 00218840 
032.1  	 00.73409  	 00.09193  	 00.03832  	 00153262 
032.2  	 00.73906  	 00.09414  	 00.02206  	 00088252 
032.3  	 00.73521  	 00.09476  	 00.00623  	 00024908 
032.4  	 00.72173  	 00.09387  	 -0.00893  	 -0035718 
032.5  	 00.69795  	 00.09155  	 -0.02316  	 -0092640 
032.6  	 00.66331  	 00.08793  	 -0.03624  	 -0144950 
032.7  	 00.61749  	 00.08313  	 -0.04796  	 -0191835 
032.8  	 00.56042  	 00.07732  	 -0.05815  	 -0232581 
032.9  	 00.49230  	 00.07065  	 -0.06665  	 -0266588 
033.0  	 00.41364  	 00.06332  	 -0.07334  	 -0293376 
033.1  	 00.32525  	 00.05550  	 -0.07815  	 -0312588 
033.2  	 00.22825  	 00.04740  	 -0.08100  	 -0323995 
033.3  	 00.12400  	 00.03922  	 -0.08188  	 -0327500 
033.4  	 00.01410  	 00.03114  	 -0.08078  	 -0323137 
033.5  	 -0.09965  	 00.02336  	 -0.07777  	 -0311072 
033.6  	 -0.21537  	 00.01607  	 -0.07290  	 -0291604 
033.7  	 -0.33107  	 00.00944  	 -0.06629  	 -0265158 
033.8  	 -0.44480  	 00.00364  	 -0.05807  	 -0232284 
033.9  	 -0.55465  	 -0.00121  	 -0.04841  	 -0193651 
034.0  	 -0.65879  	 -0.00496  	 -0.03751  	 -0150039 
034.1  	 -0.75559  	 -0.00751  	 -0.02558  	 -0102328 
034.2  	 -0.84355  	 -0.00880  	 -0.01287  	 -0051486 
034.3  	 -0.92140  	 -0.00877  	 00.00036  	 00001444 
034.4  	 -0.98807  	 -0.00738  	 00.01384  	 00055361 
034.5  	 -1.04270  	 -0.00465  	 00.02728  	 00109123 
034.6  	 -1.08465  	 -0.00061  	 00.04039  	 00161563 
034.7  	 -1.11346  	 00.00467  	 00.05288  	 00211516 
034.8  	 -1.12884  	 00.01112  	 00.06446  	 00257832 
034.9  	 -1.13066  	 00.01860  	 00.07485  	 00299399 
035.0  	 -1.11895  	 00.02698  	 00.08379  	 00335167 
035.1  	 -1.09383  	 00.03609  	 00.09104  	 00364165 
035.2  	 -1.05556  	 00.04573  	 00.09638  	 00385525 
035.3  	 -1.00452  	 00.05569  	 00.09963  	 00398502 
035.4  	 -0.94116  	 00.06575  	 00.10062  	 00402491 
035.5  	 -0.86609  	 00.07568  	 00.09926  	 00397048 
035.6  	 -0.78002  	 00.08522  	 00.09548  	 00381905 
035.7  	 -0.68382  	 00.09415  	 00.08925  	 00356982 
035.8  	 -0.57847  	 00.10221  	 00.08060  	 00322399 
035.9  	 -0.46514  	 00.10917  	 00.06962  	 00278480 
036.0  	 -0.34514  	 00.11481  	 00.05644  	 00225755 
036.1  	 -0.21993  	 00.11894  	 00.04124  	 00164957 
036.2  	 -0.09114  	 00.12136  	 00.02425  	 00097012 
036.3  	 00.03948  	 00.12194  	 00.00576  	 00023021 
036.4  	 00.17010  	 00.12055  	 -0.01394  	 -0055759 
036.5  	 00.29878  	 00.11710  	 -0.03449  	 -0137940 
036.6  	 00.42361  	 00.11155  	 -0.05551  	 -0222038 
036.7  	 00.54265  	 00.10388  	 -0.07662  	 -0306500 
036.8  	 00.65407  	 00.09414  	 -0.09744  	 -0389743 
036.9  	 00.75618  	 00.08238  	 -0.11755  	 -0470188 
037.0  	 00.84745  	 00.06873  	 -0.13657  	 -0546294 
037.1  	 00.92660  	 00.05331  	 -0.15415  	 -0616592 
037.2  	 00.99261  	 00.03632  	 -0.16993  	 -0679714 
037.3  	 01.04479  	 00.01796  	 -0.18361  	 -0734421 
037.4  	 01.08276  	 -0.00153  	 -0.19491  	 -0779627 
037.5  	 01.10650  	 -0.02189  	 -0.20360  	 -0814419 
037.6  	 01.11631  	 -0.04284  	 -0.20952  	 -0838070 
037.7  	 01.11282  	 -0.06409  	 -0.21251  	 -0850056 
037.8  	 01.09694  	 -0.08535  	 -0.21251  	 -0850058 
037.9  	 01.06987  	 -0.10630  	 -0.20949  	 -0837968 
038.0  	 01.03298  	 -0.12664  	 -0.20347  	 -0813890 
038.1  	 00.98781  	 -0.14610  	 -0.19453  	 -0778134 
038.2  	 00.93598  	 -0.16438  	 -0.18280  	 -0731208 
038.3  	 00.87918  	 -0.18122  	 -0.16845  	 -0673808 
038.4  	 00.81901  	 -0.19639  	 -0.15170  	 -0606798 
038.5  	 00.75704  	 -0.20967  	 -0.13280  	 -0531195 
038.6  	 00.69470  	 -0.22087  	 -0.11204  	 -0448140 
038.7  	 00.63321  	 -0.22985  	 -0.08972  	 -0358882 
038.8  	 00.57363  	 -0.23647  	 -0.06618  	 -0264739 
038.9  	 00.51674  	 -0.24064  	 -0.04177  	 -0167082 
039.0  	 00.46312  	 -0.24232  	 -0.01682  	 -0067299 
039.1  	 00.41307  	 -0.24149  	 00.00831  	 00033231 
039.2  	 00.36667  	 -0.23817  	 00.03329  	 00133158 
039.3  	 00.32378  	 -0.23239  	 00.05780  	 00231191 
039.4  	 00.28406  	 -0.22423  	 00.08153  	 00326115 
039.5  	 00.24702  	 -0.21381  	 00.10420  	 00416807 
039.6  	 00.21203  	 -0.20126  	 00.12556  	 00502251 
039.7  	 00.17837  	 -0.18672  	 00.14539  	 00581547 
039.8  	 00.14530  	 -0.17037  	 00.16348  	 00653921 
039.9  	 00.11205  	 -0.15240  	 00.17968  	 00718721 
040.0  	 00.07787  	 -0.13302  	 00.19386  	 00775429 
040.1  	 00.04210  	 -0.11242  	 00.20591  	 00823651 
040.2  	 00.00414  	 -0.09085  	 00.21578  	 00863118 
040.3  	 -0.03647  	 -0.06850  	 00.22342  	 00893686 
040.4  	 -0.08008  	 -0.04562  	 00.22883  	 00915323 
040.5  	 -0.12688  	 -0.02242  	 00.23203  	 00928110 
040.6  	 -0.17693  	 00.00089  	 00.23306  	 00932230 
040.7  	 -0.23014  	 00.02409  	 00.23199  	 00927963 
