Etat de mer (9s ; 3m); Stratégie: amortissement avec écrêtage. 
Production sur 1000 s, Echantillonnage : 100 ms 
 
t (s) 	 Eta (m) 	 Theta (rad) 	 Omega (rad/s) 	 C (N.m) 
201.2  	 -0.13480  	 -0.17744  	 00.42192  	 01687676 
201.3  	 -0.14474  	 -0.13441  	 00.43037  	 01721483 
201.4  	 -0.15497  	 -0.09086  	 00.43549  	 01741968 
201.5  	 -0.16614  	 -0.04712  	 00.43733  	 01749315 
201.6  	 -0.17897  	 -0.00353  	 00.43594  	 01743777 
201.7  	 -0.19426  	 00.03961  	 00.43142  	 01725677 
201.8  	 -0.21279  	 00.08200  	 00.42385  	 01695417 
201.9  	 -0.23531  	 00.12333  	 00.41337  	 01653483 
202.0  	 -0.26242  	 00.16335  	 00.40011  	 01600448 
202.1  	 -0.29459  	 00.20177  	 00.38424  	 01536969 
202.2  	 -0.33204  	 00.23836  	 00.36595  	 01463784 
202.3  	 -0.37466  	 00.27291  	 00.34542  	 01381699 
202.4  	 -0.42206  	 00.30520  	 00.32289  	 01291575 
202.5  	 -0.47344  	 00.33505  	 00.29858  	 01194311 
202.6  	 -0.52765  	 00.36232  	 00.27271  	 01090820 
202.7  	 -0.58313  	 00.38688  	 00.24550  	 00982011 
202.8  	 -0.63802  	 00.40859  	 00.21719  	 00868763 
202.9  	 -0.69010  	 00.42739  	 00.18798  	 00751909 
203.0  	 -0.73692  	 00.44320  	 00.15805  	 00632213 
203.1  	 -0.77595  	 00.45596  	 00.12759  	 00510361 
203.2  	 -0.80455  	 00.46563  	 00.09674  	 00386951 
203.3  	 -0.82020  	 00.47219  	 00.06562  	 00262487 
203.4  	 -0.82057  	 00.47563  	 00.03435  	 00137385 
203.5  	 -0.80369  	 00.47593  	 00.00300  	 00011982 
203.6  	 -0.76803  	 00.47309  	 -0.02836  	 -0113451 
203.7  	 -0.71266  	 00.46712  	 -0.05967  	 -0238683 
203.8  	 -0.63727  	 00.45804  	 -0.09088  	 -0363505 
203.9  	 -0.54232  	 00.44584  	 -0.12192  	 -0487696 
204.0  	 -0.42901  	 00.43057  	 -0.15275  	 -0610996 
204.1  	 -0.29927  	 00.41224  	 -0.18327  	 -0733069 
204.2  	 -0.15579  	 00.39090  	 -0.21337  	 -0853482 
204.3  	 -0.00181  	 00.36661  	 -0.24292  	 -0971678 
204.4  	 00.15884  	 00.33944  	 -0.27174  	 -1086957 
204.5  	 00.32200  	 00.30948  	 -0.29962  	 -1198474 
204.6  	 00.48335  	 00.27685  	 -0.32631  	 -1305234 
204.7  	 00.63852  	 00.24169  	 -0.35153  	 -1406108 
204.8  	 00.78344  	 00.20420  	 -0.37496  	 -1499853 
204.9  	 00.91430  	 00.16457  	 -0.39629  	 -1585145 
205.0  	 01.02792  	 00.12305  	 -0.41515  	 -1660616 
205.1  	 01.12185  	 00.07993  	 -0.43123  	 -1724901 
205.2  	 01.19441  	 00.03551  	 -0.44417  	 -1776679 
205.3  	 01.24483  	 -0.00985  	 -0.45368  	 -1814729 
205.4  	 01.27320  	 -0.05580  	 -0.45949  	 -1837973 
205.5  	 01.28052  	 -0.10194  	 -0.46138  	 -1845521 
205.6  	 01.26853  	 -0.14786  	 -0.45918  	 -1836708 
205.7  	 01.23963  	 -0.19314  	 -0.45278  	 -1811121 
205.8  	 01.19667  	 -0.23735  	 -0.44216  	 -1768625 
205.9  	 01.14284  	 -0.28009  	 -0.42734  	 -1709367 
206.0  	 01.08138  	 -0.32093  	 -0.40844  	 -1633775 
206.1  	 01.01537  	 -0.35950  	 -0.38564  	 -1542542 
206.2  	 00.94763  	 -0.39541  	 -0.35915  	 -1436606 
206.3  	 00.88045  	 -0.42834  	 -0.32928  	 -1317117 
206.4  	 00.81550  	 -0.45797  	 -0.29635  	 -1185393 
206.5  	 00.75379  	 -0.48405  	 -0.26072  	 -1042877 
206.6  	 00.69554  	 -0.50632  	 -0.22277  	 -0891092 
206.7  	 00.64031  	 -0.52461  	 -0.18290  	 -0731598 
206.8  	 00.58697  	 -0.53876  	 -0.14149  	 -0565954 
206.9  	 00.53395  	 -0.54865  	 -0.09892  	 -0395679 
207.0  	 00.47930  	 -0.55421  	 -0.05556  	 -0222231 
207.1  	 00.42090  	 -0.55538  	 -0.01175  	 -0046990 
207.2  	 00.35668  	 -0.55217  	 00.03219  	 00128753 
207.3  	 00.28485  	 -0.54457  	 00.07595  	 00303792 
207.4  	 00.20398  	 -0.53265  	 00.11925  	 00476999 
207.5  	 00.11329  	 -0.51646  	 00.16183  	 00647313 
207.6  	 00.01265  	 -0.49612  	 00.20343  	 00813718 
207.7  	 -0.09734  	 -0.47174  	 00.24381  	 00975230 
207.8  	 -0.21531  	 -0.44347  	 00.28272  	 01130866 
207.9  	 -0.33917  	 -0.41148  	 00.31991  	 01279637 
208.0  	 -0.46627  	 -0.37596  	 00.35513  	 01420524 
208.1  	 -0.59351  	 -0.33715  	 00.38812  	 01552466 
208.2  	 -0.71746  	 -0.29529  	 00.41859  	 01674355 
208.3  	 -0.83477  	 -0.25067  	 00.44626  	 01785032 
208.4  	 -0.94212  	 -0.20358  	 00.47082  	 01883291 
208.5  	 -1.03657  	 -0.15439  	 00.49197  	 01967889 
208.6  	 -1.11574  	 -0.10341  	 00.50973  	 02000000 
208.7  	 -1.17790  	 -0.05087  	 00.52548  	 02000000 
208.8  	 -1.22211  	 00.00298  	 00.53844  	 02000000 
208.9  	 -1.24821  	 00.05774  	 00.54761  	 02000000 
209.0  	 -1.25683  	 00.11294  	 00.55203  	 01992662 
209.1  	 -1.24938  	 00.16801  	 00.55075  	 01997290 
209.2  	 -1.22780  	 00.22225  	 00.54239  	 02000000 
209.3  	 -1.19451  	 00.27488  	 00.52629  	 02000000 
209.4  	 -1.15219  	 00.32505  	 00.50173  	 02000000 
209.5  	 -1.10362  	 00.37207  	 00.47017  	 01880684 
209.6  	 -1.05138  	 00.41548  	 00.43410  	 01736381 
209.7  	 -0.99779  	 00.45487  	 00.39393  	 01575726 
209.8  	 -0.94469  	 00.48989  	 00.35015  	 01400593 
209.9  	 -0.89334  	 00.52022  	 00.30328  	 01213123 
210.0  	 -0.84440  	 00.54561  	 00.25391  	 01015657 
210.1  	 -0.79786  	 00.56588  	 00.20267  	 00810668 
210.2  	 -0.75313  	 00.58089  	 00.15017  	 00600683 
210.3  	 -0.70908  	 00.59060  	 00.09705  	 00388214 
210.4  	 -0.66423  	 00.59499  	 00.04392  	 00175683 
210.5  	 -0.61685  	 00.59412  	 -0.00866  	 -0034638 
210.6  	 -0.56514  	 00.58811  	 -0.06017  	 -0240667 
210.7  	 -0.50747  	 00.57709  	 -0.11014  	 -0440548 
210.8  	 -0.44241  	 00.56128  	 -0.15817  	 -0632664 
210.9  	 -0.36900  	 00.54089  	 -0.20391  	 -0815646 
211.0  	 -0.28681  	 00.51618  	 -0.24709  	 -0988353 
211.1  	 -0.19592  	 00.48743  	 -0.28746  	 -1149857 
211.2  	 -0.09709  	 00.45495  	 -0.32485  	 -1299412 
211.3  	 00.00841  	 00.41903  	 -0.35911  	 -1436422 
211.4  	 00.11880  	 00.38002  	 -0.39010  	 -1560405 
211.5  	 00.23189  	 00.33825  	 -0.41774  	 -1670960 
211.6  	 00.34526  	 00.29406  	 -0.44193  	 -1767740 
211.7  	 00.45633  	 00.24780  	 -0.46261  	 -1850426 
211.8  	 00.56262  	 00.19983  	 -0.47968  	 -1918716 
211.9  	 00.66178  	 00.15052  	 -0.49308  	 -1972317 
212.0  	 00.75171  	 00.10024  	 -0.50280  	 -2000000 
212.1  	 00.83077  	 00.04929  	 -0.50952  	 -2000000 
212.2  	 00.89770  	 -0.00200  	 -0.51291  	 -2000000 
212.3  	 00.95175  	 -0.05324  	 -0.51235  	 -2000000 
212.4  	 00.99253  	 -0.10396  	 -0.50722  	 -2000000 
212.5  	 01.02011  	 -0.15366  	 -0.49700  	 -1988010 
212.6  	 01.03485  	 -0.20191  	 -0.48247  	 -1929865 
212.7  	 01.03733  	 -0.24832  	 -0.46415  	 -1856607 
212.8  	 01.02831  	 -0.29254  	 -0.44217  	 -1768686 
212.9  	 01.00856  	 -0.33421  	 -0.41667  	 -1666693 
213.0  	 00.97882  	 -0.37299  	 -0.38784  	 -1551348 
213.1  	 00.93976  	 -0.40858  	 -0.35587  	 -1423493 
213.2  	 00.89193  	 -0.44068  	 -0.32102  	 -1284074 
213.3  	 00.83577  	 -0.46903  	 -0.28353  	 -1134127 
213.4  	 00.77166  	 -0.49340  	 -0.24369  	 -0974759 
213.5  	 00.69994  	 -0.51358  	 -0.20178  	 -0807131 
213.6  	 00.62100  	 -0.52939  	 -0.15811  	 -0632453 
213.7  	 00.53541  	 -0.54069  	 -0.11299  	 -0451979 
213.8  	 00.44391  	 -0.54737  	 -0.06675  	 -0267005 
213.9  	 00.34759  	 -0.54934  	 -0.01972  	 -0078876 
214.0  	 00.24791  	 -0.54656  	 00.02775  	 00111010 
214.1  	 00.14667  	 -0.53903  	 00.07530  	 00301192 
214.2  	 00.04608  	 -0.52678  	 00.12254  	 00490147 
214.3  	 -0.05136  	 -0.50987  	 00.16907  	 00676291 
214.4  	 -0.14289  	 -0.48842  	 00.21450  	 00857985 
214.5  	 -0.22568  	 -0.46258  	 00.25839  	 01033545 
214.6  	 -0.29693  	 -0.43255  	 00.30031  	 01201258 
214.7  	 -0.35407  	 -0.39857  	 00.33985  	 01359395 
214.8  	 -0.39492  	 -0.36091  	 00.37656  	 01506236 
214.9  	 -0.41789  	 -0.31991  	 00.41002  	 01640082 
215.0  	 -0.42210  	 -0.27593  	 00.43982  	 01759281 
215.1  	 -0.40748  	 -0.22937  	 00.46556  	 01862241 
215.2  	 -0.37484  	 -0.18068  	 00.48687  	 01947465 
215.3  	 -0.32591  	 -0.13034  	 00.50347  	 02000000 
215.4  	 -0.26319  	 -0.07871  	 00.51630  	 02000000 
215.5  	 -0.18999  	 -0.02620  	 00.52502  	 02000000 
215.6  	 -0.11009  	 00.02666  	 00.52861  	 02000000 
215.7  	 -0.02770  	 00.07926  	 00.52607  	 02000000 
215.8  	 00.05294  	 00.13091  	 00.51649  	 02000000 
215.9  	 00.12768  	 00.18083  	 00.49913  	 01996522 
216.0  	 00.19279  	 00.22834  	 00.47514  	 01900574 
216.1  	 00.24520  	 00.27296  	 00.44617  	 01784688 
216.2  	 00.28262  	 00.31422  	 00.41265  	 01650583 
216.3  	 00.30381  	 00.35173  	 00.37508  	 01500338 
216.4  	 00.30850  	 00.38514  	 00.33408  	 01336332 
216.5  	 00.29754  	 00.41417  	 00.29029  	 01161171 
216.6  	 00.27278  	 00.43861  	 00.24440  	 00977596 
216.7  	 00.23696  	 00.45832  	 00.19710  	 00788394 
216.8  	 00.19348  	 00.47323  	 00.14908  	 00596305 
216.9  	 00.14619  	 00.48332  	 00.10099  	 00403942 
217.0  	 00.09917  	 00.48867  	 00.05343  	 00213725 
217.1  	 00.05631  	 00.48936  	 00.00696  	 00027827 
217.2  	 00.02116  	 00.48557  	 -0.03796  	 -0151854 
217.3  	 -0.00335  	 00.47747  	 -0.08093  	 -0323717 
217.4  	 -0.01521  	 00.46531  	 -0.12161  	 -0486447 
217.5  	 -0.01329  	 00.44934  	 -0.15975  	 -0639005 
217.6  	 00.00231  	 00.42982  	 -0.19515  	 -0780598 
217.7  	 00.03055  	 00.40706  	 -0.22766  	 -0910642 
217.8  	 00.06925  	 00.38134  	 -0.25718  	 -1028719 
217.9  	 00.11542  	 00.35298  	 -0.28363  	 -1134539 
218.0  	 00.16535  	 00.32228  	 -0.30697  	 -1227899 
218.1  	 00.21490  	 00.28956  	 -0.32716  	 -1308653 
218.2  	 00.25980  	 00.25514  	 -0.34417  	 -1376682 
218.3  	 00.29586  	 00.21935  	 -0.35797  	 -1431879 
218.4  	 00.31933  	 00.18249  	 -0.36854  	 -1474144 
218.5  	 00.32709  	 00.14491  	 -0.37585  	 -1503383 
218.6  	 00.31690  	 00.10692  	 -0.37988  	 -1519519 
218.7  	 00.28756  	 00.06886  	 -0.38063  	 -1522507 
218.8  	 00.23894  	 00.03105  	 -0.37809  	 -1512355 
218.9  	 00.17202  	 -0.00618  	 -0.37229  	 -1489145 
219.0  	 00.08887  	 -0.04251  	 -0.36326  	 -1453059 
219.1  	 -0.00752  	 -0.07762  	 -0.35110  	 -1404394 
219.2  	 -0.11338  	 -0.11120  	 -0.33590  	 -1343582 
219.3  	 -0.22444  	 -0.14298  	 -0.31780  	 -1271205 
219.4  	 -0.33612  	 -0.17268  	 -0.29700  	 -1187994 
219.5  	 -0.44375  	 -0.20006  	 -0.27371  	 -1094838 
219.6  	 -0.54302  	 -0.22487  	 -0.24819  	 -0992772 
219.7  	 -0.62994  	 -0.24695  	 -0.22074  	 -0882966 
219.8  	 -0.70129  	 -0.26612  	 -0.19168  	 -0766714 
219.9  	 -0.75460  	 -0.28225  	 -0.16135  	 -0645407 
220.0  	 -0.78830  	 -0.29526  	 -0.13013  	 -0520509 
220.1  	 -0.80182  	 -0.30510  	 -0.09838  	 -0393532 
220.2  	 -0.79552  	 -0.31175  	 -0.06650  	 -0266002 
220.3  	 -0.77064  	 -0.31524  	 -0.03486  	 -0139436 
220.4  	 -0.72914  	 -0.31562  	 -0.00383  	 -0015309 
220.5  	 -0.67368  	 -0.31300  	 00.02624  	 00104973 
220.6  	 -0.60730  	 -0.30750  	 00.05502  	 00220094 
220.7  	 -0.53340  	 -0.29927  	 00.08221  	 00328852 
220.8  	 -0.45537  	 -0.28852  	 00.10754  	 00430174 
220.9  	 -0.37660  	 -0.27544  	 00.13078  	 00523131 
221.0  	 -0.30023  	 -0.26027  	 00.15174  	 00606950 
221.1  	 -0.22903  	 -0.24324  	 00.17026  	 00681023 
221.2  	 -0.16534  	 -0.22462  	 00.18623  	 00744905 
221.3  	 -0.11099  	 -0.20466  	 00.19958  	 00798324 
221.4  	 -0.06729  	 -0.18363  	 00.21029  	 00841170 
221.5  	 -0.03499  	 -0.16179  	 00.21838  	 00873502 
221.6  	 -0.01438  	 -0.13941  	 00.22388  	 00895530 
221.7  	 -0.00525  	 -0.11672  	 00.22690  	 00907614 
221.8  	 -0.00705  	 -0.09396  	 00.22756  	 00910245 
221.9  	 -0.01888  	 -0.07136  	 00.22601  	 00904034 
222.0  	 -0.03961  	 -0.04912  	 00.22242  	 00889691 
222.1  	 -0.06796  	 -0.02742  	 00.21700  	 00868006 
222.2  	 -0.10247  	 -0.00642  	 00.20996  	 00839831 
222.3  	 -0.14173  	 00.01373  	 00.20151  	 00806053 
222.4  	 -0.18428  	 00.03292  	 00.19189  	 00767576 
222.5  	 -0.22867  	 00.05105  	 00.18132  	 00725298 
222.6  	 -0.27358  	 00.06805  	 00.17002  	 00680093 
222.7  	 -0.31773  	 00.08387  	 00.15820  	 00632789 
222.8  	 -0.35996  	 00.09848  	 00.14604  	 00584159 
222.9  	 -0.39924  	 00.11185  	 00.13372  	 00534899 
223.0  	 -0.43461  	 00.12399  	 00.12141  	 00485628 
223.1  	 -0.46531  	 00.13491  	 00.10922  	 00436874 
223.2  	 -0.49065  	 00.14464  	 00.09727  	 00389073 
223.3  	 -0.51013  	 00.15320  	 00.08564  	 00342567 
223.4  	 -0.52333  	 00.16064  	 00.07440  	 00297605 
223.5  	 -0.53002  	 00.16700  	 00.06359  	 00254346 
223.6  	 -0.53007  	 00.17233  	 00.05322  	 00212867 
223.7  	 -0.52347  	 00.17665  	 00.04329  	 00173167 
223.8  	 -0.51032  	 00.18003  	 00.03379  	 00135179 
223.9  	 -0.49078  	 00.18250  	 00.02469  	 00098777 
224.0  	 -0.46507  	 00.18410  	 00.01595  	 00063782 
224.1  	 -0.43343  	 00.18485  	 00.00750  	 00029982 
224.2  	 -0.39610  	 00.18478  	 -0.00072  	 -0002864 
224.3  	 -0.35323  	 00.18390  	 -0.00875  	 -0035016 
224.4  	 -0.30496  	 00.18223  	 -0.01668  	 -0066739 
224.5  	 -0.25131  	 00.17977  	 -0.02457  	 -0098292 
224.6  	 -0.19223  	 00.17653  	 -0.03248  	 -0129920 
224.7  	 -0.12755  	 00.17248  	 -0.04046  	 -0161843 
224.8  	 -0.05707  	 00.16762  	 -0.04856  	 -0194246 
224.9  	 00.01948  	 00.16194  	 -0.05682  	 -0227269 
225.0  	 00.10231  	 00.15542  	 -0.06525  	 -0261002 
225.1  	 00.19160  	 00.14803  	 -0.07387  	 -0295474 
225.2  	 00.28736  	 00.13976  	 -0.08266  	 -0330648 
225.3  	 00.38946  	 00.13060  	 -0.09160  	 -0366414 
225.4  	 00.49748  	 00.12054  	 -0.10065  	 -0402593 
225.5  	 00.61064  	 00.10957  	 -0.10973  	 -0438930 
225.6  	 00.72794  	 00.09769  	 -0.11877  	 -0475098 
225.7  	 00.84788  	 00.08492  	 -0.12768  	 -0510704 
225.8  	 00.96876  	 00.07129  	 -0.13632  	 -0545294 
225.9  	 01.08844  	 00.05683  	 -0.14459  	 -0578362 
226.0  	 01.20458  	 00.04160  	 -0.15234  	 -0609363 
226.1  	 01.31465  	 00.02565  	 -0.15943  	 -0637726 
226.2  	 01.41603  	 00.00908  	 -0.16572  	 -0662862 
226.3  	 01.50616  	 -0.00802  	 -0.17105  	 -0684184 
226.4  	 01.58258  	 -0.02555  	 -0.17528  	 -0701117 
226.5  	 01.64315  	 -0.04338  	 -0.17828  	 -0713108 
226.6  	 01.68607  	 -0.06137  	 -0.17991  	 -0719638 
226.7  	 01.71002  	 -0.07938  	 -0.18006  	 -0720227 
226.8  	 01.71421  	 -0.09724  	 -0.17861  	 -0714444 
226.9  	 01.69842  	 -0.11479  	 -0.17548  	 -0701912 
227.0  	 01.66301  	 -0.13184  	 -0.17058  	 -0682305 
227.1  	 01.60890  	 -0.14823  	 -0.16384  	 -0655356 
227.2  	 01.53752  	 -0.16375  	 -0.15521  	 -0620858 
227.3  	 01.45066  	 -0.17821  	 -0.14467  	 -0578669 
227.4  	 01.35046  	 -0.19143  	 -0.13218  	 -0528712 
227.5  	 01.23926  	 -0.20321  	 -0.11775  	 -0470984 
227.6  	 01.11936  	 -0.21335  	 -0.10139  	 -0405564 
227.7  	 00.99315  	 -0.22166  	 -0.08316  	 -0332622 
227.8  	 00.86272  	 -0.22797  	 -0.06311  	 -0252435 
227.9  	 00.72997  	 -0.23211  	 -0.04135  	 -0165396 
228.0  	 00.59647  	 -0.23391  	 -0.01801  	 -0072027 
228.1  	 00.46340  	 -0.23323  	 00.00675  	 00027001 
228.2  	 00.33165  	 -0.22996  	 00.03272  	 00130868 
228.3  	 00.20172  	 -0.22400  	 00.05965  	 00238590 
228.4  	 00.07391  	 -0.21527  	 00.08726  	 00349022 
228.5  	 -0.05168  	 -0.20375  	 00.11522  	 00460864 
228.6  	 -0.17511  	 -0.18943  	 00.14317  	 00572666 
228.7  	 -0.29635  	 -0.17236  	 00.17071  	 00682851 
228.8  	 -0.41534  	 -0.15262  	 00.19743  	 00789733 
228.9  	 -0.53179  	 -0.13033  	 00.22289  	 00891553 
229.0  	 -0.64522  	 -0.10567  	 00.24663  	 00986509 
229.1  	 -0.75488  	 -0.07885  	 00.26820  	 01072797 
229.2  	 -0.85971  	 -0.05013  	 00.28716  	 01148645 
229.3  	 -0.95850  	 -0.01982  	 00.30309  	 01212364 
229.4  	 -1.04976  	 00.01174  	 00.31560  	 01262388 
229.5  	 -1.13192  	 00.04417  	 00.32433  	 01297317 
229.6  	 -1.20347  	 00.07707  	 00.32899  	 01315959 
229.7  	 -1.26294  	 00.11000  	 00.32935  	 01317380 
229.8  	 -1.30914  	 00.14253  	 00.32523  	 01300935 
229.9  	 -1.34115  	 00.17419  	 00.31658  	 01266307 
230.0  	 -1.35852  	 00.20452  	 00.30338  	 01213530 
230.1  	 -1.36122  	 00.23310  	 00.28575  	 01143015 
230.2  	 -1.34974  	 00.25949  	 00.26389  	 01055547 
230.3  	 -1.32507  	 00.28329  	 00.23807  	 00952284 
230.4  	 -1.28866  	 00.30416  	 00.20868  	 00834732 
230.5  	 -1.24229  	 00.32178  	 00.17618  	 00704708 
230.6  	 -1.18807  	 00.33589  	 00.14107  	 00564294 
230.7  	 -1.12826  	 00.34628  	 00.10394  	 00415772 
230.8  	 -1.06508  	 00.35282  	 00.06539  	 00261556 
230.9  	 -1.00067  	 00.35542  	 00.02603  	 00104118 
231.0  	 -0.93695  	 00.35407  	 -0.01352  	 -0054080 
231.1  	 -0.87540  	 00.34881  	 -0.05266  	 -0210655 
231.2  	 -0.81712  	 00.33972  	 -0.09084  	 -0363361 
231.3  	 -0.76268  	 00.32697  	 -0.12753  	 -0510138 
231.4  	 -0.71217  	 00.31074  	 -0.16229  	 -0649141 
231.5  	 -0.66520  	 00.29127  	 -0.19469  	 -0778770 
231.6  	 -0.62095  	 00.26883  	 -0.22442  	 -0897676 
231.7  	 -0.57827  	 00.24371  	 -0.25119  	 -1004761 
231.8  	 -0.53583  	 00.21623  	 -0.27479  	 -1099171 
231.9  	 -0.49220  	 00.18672  	 -0.29507  	 -1180274 
232.0  	 -0.44608  	 00.15553  	 -0.31191  	 -1247652 
232.1  	 -0.39630  	 00.12301  	 -0.32527  	 -1301070 
232.2  	 -0.34207  	 00.08949  	 -0.33511  	 -1340459 
232.3  	 -0.28300  	 00.05535  	 -0.34147  	 -1365893 
232.4  	 -0.21917  	 00.02091  	 -0.34439  	 -1377575 
232.5  	 -0.15119  	 -0.01349  	 -0.34395  	 -1375816 
232.6  	 -0.08008  	 -0.04751  	 -0.34026  	 -1361027 
232.7  	 -0.00739  	 -0.08086  	 -0.33343  	 -1333710 
232.8  	 00.06508  	 -0.11322  	 -0.32361  	 -1294447 
232.9  	 00.13524  	 -0.14432  	 -0.31097  	 -1243899 
233.0  	 00.20092  	 -0.17388  	 -0.29570  	 -1182794 
233.1  	 00.26003  	 -0.20168  	 -0.27798  	 -1111925 
233.2  	 00.31063  	 -0.22749  	 -0.25804  	 -1032141 
233.3  	 00.35117  	 -0.25110  	 -0.23609  	 -0944340 
233.4  	 00.38045  	 -0.27233  	 -0.21236  	 -0849459 
233.5  	 00.39785  	 -0.29104  	 -0.18712  	 -0748461 
233.6  	 00.40329  	 -0.30710  	 -0.16058  	 -0642323 
233.7  	 00.39728  	 -0.32040  	 -0.13301  	 -0532027 
233.8  	 00.38086  	 -0.33087  	 -0.10464  	 -0418549 
233.9  	 00.35555  	 -0.33844  	 -0.07571  	 -0302841 
234.0  	 00.32325  	 -0.34308  	 -0.04646  	 -0185834 
234.1  	 00.28619  	 -0.34479  	 -0.01711  	 -0068421 
234.2  	 00.24665  	 -0.34358  	 00.01214  	 00048541 
234.3  	 00.20700  	 -0.33947  	 00.04106  	 00164235 
234.4  	 00.16941  	 -0.33253  	 00.06947  	 00277881 
234.5  	 00.13582  	 -0.32281  	 00.09718  	 00388738 
234.6  	 00.10780  	 -0.31041  	 00.12403  	 00496101 
234.7  	 00.08652  	 -0.29542  	 00.14982  	 00599294 
234.8  	 00.07260  	 -0.27798  	 00.17442  	 00697668 
234.9  	 00.06623  	 -0.25822  	 00.19765  	 00790595 
235.0  	 00.06706  	 -0.23628  	 00.21937  	 00877472 
235.1  	 00.07434  	 -0.21234  	 00.23943  	 00957710 
235.2  	 00.08692  	 -0.18657  	 00.25768  	 01030738 
235.3  	 00.10338  	 -0.15917  	 00.27400  	 01096007 
235.4  	 00.12214  	 -0.13034  	 00.28825  	 01152984 
235.5  	 00.14150  	 -0.10031  	 00.30029  	 01201169 
235.6  	 00.15984  	 -0.06931  	 00.31002  	 01240091 
235.7  	 00.17563  	 -0.03758  	 00.31733  	 01269324 
235.8  	 00.18757  	 -0.00537  	 00.32212  	 01288495 
235.9  	 00.19464  	 00.02707  	 00.32432  	 01297297 
236.0  	 00.19615  	 00.05945  	 00.32387  	 01295495 
236.1  	 00.19178  	 00.09153  	 00.32074  	 01282946 
236.2  	 00.18154  	 00.12302  	 00.31490  	 01259605 
236.3  	 00.16587  	 00.15366  	 00.30638  	 01225536 
236.4  	 00.14546  	 00.18318  	 00.29523  	 01180918 
236.5  	 00.12133  	 00.21133  	 00.28151  	 01126050 
236.6  	 00.09474  	 00.23786  	 00.26534  	 01061347 
236.7  	 00.06713  	 00.26255  	 00.24683  	 00987338 
236.8  	 00.04005  	 00.28516  	 00.22617  	 00904660 
236.9  	 00.01514  	 00.30551  	 00.20351  	 00814045 
237.0  	 -0.00601  	 00.32342  	 00.17908  	 00716303 
237.1  	 -0.02183  	 00.33873  	 00.15308  	 00612310 
237.2  	 -0.03091  	 00.35130  	 00.12575  	 00502988 
237.3  	 -0.03192  	 00.36104  	 00.09732  	 00389287 
237.4  	 -0.02382  	 00.36784  	 00.06804  	 00272171 
237.5  	 -0.00577  	 00.37166  	 00.03815  	 00152601 
237.6  	 00.02281  	 00.37244  	 00.00788  	 00031524 
237.7  	 00.06217  	 00.37019  	 -0.02253  	 -0090131 
237.8  	 00.11226  	 00.36490  	 -0.05287  	 -0211467 
237.9  	 00.17268  	 00.35661  	 -0.08290  	 -0331613 
238.0  	 00.24271  	 00.34537  	 -0.11243  	 -0449724 
238.1  	 00.32131  	 00.33125  	 -0.14125  	 -0564982 
238.2  	 00.40711  	 00.31433  	 -0.16915  	 -0676584 
238.3  	 00.49845  	 00.29474  	 -0.19593  	 -0783740 
238.4  	 00.59344  	 00.27260  	 -0.22142  	 -0885667 
238.5  	 00.68995  	 00.24806  	 -0.24540  	 -0981587 
238.6  	 00.78575  	 00.22129  	 -0.26768  	 -1070725 
238.7  	 00.87846  	 00.19248  	 -0.28808  	 -1152308 
238.8  	 00.96581  	 00.16184  	 -0.30639  	 -1225572 
238.9  	 01.04551  	 00.12960  	 -0.32244  	 -1289770 
239.0  	 01.11544  	 00.09599  	 -0.33605  	 -1344188 
239.1  	 01.17376  	 00.06129  	 -0.34704  	 -1388157 
239.2  	 01.21881  	 00.02576  	 -0.35527  	 -1421069 
239.3  	 01.24940  	 -0.01030  	 -0.36060  	 -1442400 
239.4  	 01.26462  	 -0.04659  	 -0.36293  	 -1451723 
239.5  	 01.26400  	 -0.08281  	 -0.36218  	 -1448727 
239.6  	 01.24749  	 -0.11864  	 -0.35831  	 -1433234 
239.7  	 01.21541  	 -0.15377  	 -0.35130  	 -1405204 
239.8  	 01.16844  	 -0.18789  	 -0.34119  	 -1364742 
239.9  	 01.10754  	 -0.22069  	 -0.32802  	 -1312096 
240.0  	 01.03392  	 -0.25188  	 -0.31191  	 -1247653 
240.1  	 00.94894  	 -0.28118  	 -0.29298  	 -1171923 
240.2  	 00.85407  	 -0.30832  	 -0.27138  	 -1085525 
240.3  	 00.75077  	 -0.33305  	 -0.24729  	 -0989167 
240.4  	 00.64045  	 -0.35514  	 -0.22091  	 -0883623 
240.5  	 00.52444  	 -0.37438  	 -0.19243  	 -0769710 
240.6  	 00.40385  	 -0.39059  	 -0.16207  	 -0648268 
240.7  	 00.27971  	 -0.40359  	 -0.13003  	 -0520140 
240.8  	 00.15278  	 -0.41325  	 -0.09654  	 -0386167 
240.9  	 00.02373  	 -0.41943  	 -0.06179  	 -0247175 
241.0  	 -0.10690  	 -0.42202  	 -0.02599  	 -0103974 
241.1  	 -0.23871  	 -0.42096  	 00.01066  	 00042627 
241.2  	 -0.37126  	 -0.41616  	 00.04795  	 00191820 
241.3  	 -0.50414  	 -0.40759  	 00.08569  	 00342768 
241.4  	 -0.63683  	 -0.39523  	 00.12365  	 00494596 
241.5  	 -0.76865  	 -0.37907  	 00.16159  	 00646369 
241.6  	 -0.89882  	 -0.35914  	 00.19927  	 00797067 
241.7  	 -1.02627  	 -0.33550  	 00.23639  	 00945568 
241.8  	 -1.14981  	 -0.30824  	 00.27266  	 01090638 
241.9  	 -1.26803  	 -0.27747  	 00.30773  	 01230916 
