Etat de mer (9s ; 3m); Stratégie: amortissement avec écrêtage. 
Production sur 1000 s, Echantillonnage : 100 ms 
 
t (s) 	 Eta (m) 	 Theta (rad) 	 Omega (rad/s) 	 C (N.m) 
000.0  	 00.71736  	 00.00000  	 00.00000  	 -0000000 
000.1  	 00.64467  	 -0.00139  	 -0.01390  	 -0055582 
000.2  	 00.55941  	 -0.00400  	 -0.02607  	 -0104280 
000.3  	 00.46343  	 -0.00761  	 -0.03616  	 -0144640 
000.4  	 00.35872  	 -0.01200  	 -0.04387  	 -0175468 
000.5  	 00.24731  	 -0.01690  	 -0.04896  	 -0195852 
000.6  	 00.13119  	 -0.02202  	 -0.05129  	 -0205167 
000.7  	 00.01225  	 -0.02710  	 -0.05077  	 -0203090 
000.8  	 -0.10778  	 -0.03184  	 -0.04740  	 -0189595 
000.9  	 -0.22735  	 -0.03597  	 -0.04124  	 -0164954 
001.0  	 -0.34506  	 -0.03921  	 -0.03243  	 -0129727 
001.1  	 -0.45968  	 -0.04133  	 -0.02119  	 -0084747 
001.2  	 -0.57006  	 -0.04211  	 -0.00778  	 -0031102 
001.3  	 -0.67513  	 -0.04136  	 00.00747  	 00029890 
001.4  	 -0.77379  	 -0.03894  	 00.02418  	 00096710 
001.5  	 -0.86495  	 -0.03475  	 00.04192  	 00167670 
001.6  	 -0.94740  	 -0.02872  	 00.06024  	 00240951 
001.7  	 -1.01985  	 -0.02086  	 00.07866  	 00314646 
001.8  	 -1.08093  	 -0.01119  	 00.09670  	 00386801 
001.9  	 -1.12919  	 00.00020  	 00.11386  	 00455460 
002.0  	 -1.16315  	 00.01317  	 00.12968  	 00518708 
002.1  	 -1.18140  	 00.02753  	 00.14368  	 00574712 
002.2  	 -1.18262  	 00.04308  	 00.15544  	 00621766 
002.3  	 -1.16573  	 00.05954  	 00.16458  	 00658323 
002.4  	 -1.12993  	 00.07661  	 00.17076  	 00683035 
002.5  	 -1.07482  	 00.09398  	 00.17370  	 00694786 
002.6  	 -1.00044  	 00.11130  	 00.17318  	 00692723 
