Etat de mer (9s ; 3m); Stratégie: amortissement avec écrêtage. 
Production sur 1000 s, Echantillonnage : 100 ms 
 
t (s) 	 Eta (m) 	 Theta (rad) 	 Omega (rad/s) 	 C (N.m) 
002.7  	 -0.90735  	 00.12821  	 00.16907  	 00676282 
002.8  	 -0.79668  	 00.14434  	 00.16130  	 00645213 
002.9  	 -0.67005  	 00.15933  	 00.14990  	 00599597 
003.0  	 -0.52963  	 00.17282  	 00.13496  	 00539852 
003.1  	 -0.37804  	 00.18449  	 00.11668  	 00466738 
003.2  	 -0.21826  	 00.19403  	 00.09534  	 00381345 
003.3  	 -0.05358  	 00.20115  	 00.07127  	 00285072 
003.4  	 00.11260  	 00.20564  	 00.04490  	 00179596 
003.5  	 00.27681  	 00.20731  	 00.01671  	 00066832 
003.6  	 00.43570  	 00.20603  	 -0.01278  	 -0051119 
003.7  	 00.58615  	 00.20173  	 -0.04301  	 -0172020 
003.8  	 00.72534  	 00.19439  	 -0.07339  	 -0293565 
003.9  	 00.85090  	 00.18406  	 -0.10336  	 -0413430 
004.0  	 00.96091  	 00.17083  	 -0.13233  	 -0529335 
004.1  	 01.05401  	 00.15485  	 -0.15977  	 -0639093 
004.2  	 01.12937  	 00.13633  	 -0.18516  	 -0740659 
004.3  	 01.18668  	 00.11553  	 -0.20804  	 -0832166 
004.4  	 01.22618  	 00.09273  	 -0.22799  	 -0911956 
004.5  	 01.24854  	 00.06826  	 -0.24465  	 -0978605 
004.6  	 01.25482  	 00.04249  	 -0.25774  	 -1030944 
004.7  	 01.24646  	 00.01579  	 -0.26702  	 -1068072 
004.8  	 01.22510  	 -0.01145  	 -0.27234  	 -1089365 
004.9  	 01.19261  	 -0.03881  	 -0.27362  	 -1094491 
005.0  	 01.15096  	 -0.06589  	 -0.27085  	 -1083413 
005.1  	 01.10217  	 -0.09230  	 -0.26410  	 -1056388 
005.2  	 01.04827  	 -0.11765  	 -0.25349  	 -1013973 
005.3  	 00.99124  	 -0.14158  	 -0.23925  	 -0957009 
005.4  	 00.93300  	 -0.16374  	 -0.22165  	 -0886609 
005.5  	 00.87531  	 -0.18385  	 -0.20103  	 -0804137 
005.6  	 00.81982  	 -0.20163  	 -0.17779  	 -0711177 
005.7  	 00.76800  	 -0.21686  	 -0.15237  	 -0609495 
005.8  	 00.72111  	 -0.22939  	 -0.12525  	 -0500997 
005.9  	 00.68020  	 -0.23908  	 -0.09692  	 -0387680 
006.0  	 00.64605  	 -0.24587  	 -0.06790  	 -0271582 
006.1  	 00.61916  	 -0.24974  	 -0.03868  	 -0154724 
006.2  	 00.59972  	 -0.25071  	 -0.00977  	 -0039065 
006.3  	 00.58757  	 -0.24888  	 00.01839  	 00073548 
006.4  	 00.58218  	 -0.24434  	 00.04536  	 00181422 
006.5  	 00.58267  	 -0.23726  	 00.07076  	 00283046 
006.6  	 00.58776  	 -0.22784  	 00.09428  	 00377125 
006.7  	 00.59584  	 -0.21627  	 00.11565  	 00462592 
006.8  	 00.60495  	 -0.20281  	 00.13466  	 00538623 
006.9  	 00.61289  	 -0.18769  	 00.15116  	 00604643 
007.0  	 00.61725  	 -0.17118  	 00.16508  	 00660321 
007.1  	 00.61554  	 -0.15354  	 00.17639  	 00705569 
007.2  	 00.60526  	 -0.13503  	 00.18513  	 00740528 
007.3  	 00.58405  	 -0.11589  	 00.19139  	 00765551 
007.4  	 00.54979  	 -0.09636  	 00.19530  	 00781185 
007.5  	 00.50071  	 -0.07666  	 00.19704  	 00788141 
007.6  	 00.43553  	 -0.05698  	 00.19682  	 00787273 
007.7  	 00.35353  	 -0.03749  	 00.19488  	 00779538 
007.8  	 00.25461  	 -0.01834  	 00.19149  	 00765970 
007.9  	 00.13936  	 00.00035  	 00.18691  	 00747640 
008.0  	 00.00901  	 00.01849  	 00.18140  	 00725619 
008.1  	 -0.13452  	 00.03602  	 00.17524  	 00700949 
008.2  	 -0.28875  	 00.05288  	 00.16865  	 00674602 
008.3  	 -0.45072  	 00.06907  	 00.16186  	 00647452 
008.4  	 -0.61706  	 00.08458  	 00.15506  	 00620248 
008.5  	 -0.78420  	 00.09942  	 00.14840  	 00593591 
008.6  	 -0.94849  	 00.11361  	 00.14198  	 00567919 
008.7  	 -1.10633  	 00.12720  	 00.13587  	 00543499 
008.8  	 -1.25438  	 00.14021  	 00.13010  	 00520419 
008.9  	 -1.38965  	 00.15268  	 00.12465  	 00498596 
009.0  	 -1.50963  	 00.16462  	 00.11945  	 00477785 
009.1  	 -1.61239  	 00.17606  	 00.11440  	 00457593 
009.2  	 -1.69661  	 00.18700  	 00.10937  	 00437496 
009.3  	 -1.76162  	 00.19742  	 00.10422  	 00416873 
009.4  	 -1.80735  	 00.20730  	 00.09876  	 00395025 
009.5  	 -1.83433  	 00.21658  	 00.09280  	 00371212 
009.6  	 -1.84358  	 00.22519  	 00.08617  	 00344684 
009.7  	 -1.83651  	 00.23306  	 00.07868  	 00314713 
009.8  	 -1.81484  	 00.24008  	 00.07016  	 00280628 
009.9  	 -1.78042  	 00.24612  	 00.06046  	 00241844 
010.0  	 -1.73518  	 00.25107  	 00.04947  	 00197890 
010.1  	 -1.68098  	 00.25478  	 00.03711  	 00148435 
010.2  	 -1.61953  	 00.25711  	 00.02333  	 00093311 
010.3  	 -1.55233  	 00.25793  	 00.00813  	 00032524 
010.4  	 -1.48060  	 00.25708  	 -0.00843  	 -0033733 
010.5  	 -1.40528  	 00.25446  	 -0.02627  	 -0105071 
010.6  	 -1.32703  	 00.24993  	 -0.04523  	 -0180916 
010.7  	 -1.24626  	 00.24342  	 -0.06513  	 -0260508 
010.8  	 -1.16317  	 00.23485  	 -0.08573  	 -0342923 
010.9  	 -1.07782  	 00.22417  	 -0.10677  	 -0427092 
011.0  	 -0.99018  	 00.21137  	 -0.12796  	 -0511823 
011.1  	 -0.90020  	 00.19648  	 -0.14896  	 -0595836 
011.2  	 -0.80789  	 00.17953  	 -0.16945  	 -0677794 
011.3  	 -0.71332  	 00.16063  	 -0.18908  	 -0756336 
011.4  	 -0.61672  	 00.13987  	 -0.20753  	 -0830110 
011.5  	 -0.51841  	 00.11743  	 -0.22445  	 -0897814 
011.6  	 -0.41890  	 00.09347  	 -0.23955  	 -0958219 
011.7  	 -0.31877  	 00.06822  	 -0.25255  	 -1010206 
011.8  	 -0.21870  	 00.04190  	 -0.26320  	 -1052792 
011.9  	 -0.11938  	 00.01477  	 -0.27129  	 -1085151 
012.0  	 -0.02151  	 -0.01290  	 -0.27666  	 -1106636 
012.1  	 00.07432  	 -0.04082  	 -0.27920  	 -1116796 
012.2  	 00.16761  	 -0.06870  	 -0.27885  	 -1115384 
012.3  	 00.25807  	 -0.09626  	 -0.27559  	 -1102363 
012.4  	 00.34555  	 -0.12321  	 -0.26948  	 -1077905 
012.5  	 00.43015  	 -0.14927  	 -0.26060  	 -1042388 
012.6  	 00.51212  	 -0.17418  	 -0.24909  	 -0996380 
012.7  	 00.59190  	 -0.19769  	 -0.23516  	 -0940628 
012.8  	 00.67002  	 -0.21959  	 -0.21901  	 -0876033 
012.9  	 00.74709  	 -0.23969  	 -0.20091  	 -0803622 
013.0  	 00.82370  	 -0.25780  	 -0.18113  	 -0724524 
013.1  	 00.90036  	 -0.27380  	 -0.15998  	 -0639934 
013.2  	 00.97742  	 -0.28757  	 -0.13777  	 -0551080 
013.3  	 01.05500  	 -0.29905  	 -0.11480  	 -0459193 
013.4  	 01.13297  	 -0.30819  	 -0.09137  	 -0365471 
013.5  	 01.21087  	 -0.31497  	 -0.06776  	 -0271056 
013.6  	 01.28793  	 -0.31939  	 -0.04425  	 -0177005 
013.7  	 01.36305  	 -0.32150  	 -0.02107  	 -0084272 
013.8  	 01.43487  	 -0.32134  	 00.00158  	 00006307 
013.9  	 01.50177  	 -0.31899  	 00.02351  	 00094030 
014.0  	 01.56196  	 -0.31453  	 00.04458  	 00178330 
014.1  	 01.61361  	 -0.30806  	 00.06470  	 00258781 
014.2  	 01.65485  	 -0.29968  	 00.08377  	 00335089 
014.3  	 01.68396  	 -0.28951  	 00.10177  	 00407091 
014.4  	 01.69943  	 -0.27764  	 00.11868  	 00474739 
014.5  	 01.70000  	 -0.26419  	 00.13452  	 00538088 
014.6  	 01.68482  	 -0.24926  	 00.14932  	 00597276 
014.7  	 01.65345  	 -0.23294  	 00.16313  	 00652509 
014.8  	 01.60589  	 -0.21534  	 00.17601  	 00704035 
014.9  	 01.54261  	 -0.19654  	 00.18803  	 00752126 
015.0  	 01.46454  	 -0.17661  	 00.19926  	 00797057 
015.1  	 01.37301  	 -0.15563  	 00.20977  	 00839081 
015.2  	 01.26972  	 -0.13367  	 00.21960  	 00878410 
015.3  	 01.15664  	 -0.11079  	 00.22880  	 00915195 
015.4  	 01.03595  	 -0.08706  	 00.23738  	 00949513 
015.5  	 00.90994  	 -0.06252  	 00.24534  	 00981353 
015.6  	 00.78091  	 -0.03726  	 00.25265  	 01010603 
015.7  	 00.65109  	 -0.01133  	 00.25926  	 01037052 
015.8  	 00.52257  	 00.01518  	 00.26510  	 01060383 
015.9  	 00.39721  	 00.04218  	 00.27004  	 01080179 
016.0  	 00.27664  	 00.06958  	 00.27398  	 01095934 
016.1  	 00.16216  	 00.09726  	 00.27677  	 01107061 
016.2  	 00.05479  	 00.12508  	 00.27823  	 01112910 
016.3  	 -0.04476  	 00.15290  	 00.27820  	 01112785 
016.4  	 -0.13603  	 00.18055  	 00.27649  	 01105969 
016.5  	 -0.21885  	 00.20784  	 00.27294  	 01091749 
016.6  	 -0.29320  	 00.23458  	 00.26736  	 01069436 
016.7  	 -0.35922  	 00.26054  	 00.25960  	 01038395 
016.8  	 -0.41715  	 00.28549  	 00.24952  	 00998067 
016.9  	 -0.46728  	 00.30919  	 00.23700  	 00947993 
017.0  	 -0.50989  	 00.33139  	 00.22196  	 00887841 
017.1  	 -0.54525  	 00.35182  	 00.20435  	 00817416 
017.2  	 -0.57355  	 00.37024  	 00.18417  	 00736686 
017.3  	 -0.59498  	 00.38638  	 00.16145  	 00645791 
017.4  	 -0.60964  	 00.40001  	 00.13626  	 00545055 
017.5  	 -0.61763  	 00.41088  	 00.10875  	 00434988 
017.6  	 -0.61904  	 00.41879  	 00.07907  	 00316291 
017.7  	 -0.61400  	 00.42354  	 00.04746  	 00189850 
017.8  	 -0.60275  	 00.42496  	 00.01418  	 00056728 
017.9  	 -0.58562  	 00.42291  	 -0.02046  	 -0081847 
018.0  	 -0.56314  	 00.41730  	 -0.05612  	 -0224498 
018.1  	 -0.53600  	 00.40805  	 -0.09243  	 -0369721 
018.2  	 -0.50512  	 00.39516  	 -0.12898  	 -0515904 
018.3  	 -0.47162  	 00.37862  	 -0.16534  	 -0661351 
018.4  	 -0.43683  	 00.35852  	 -0.20108  	 -0804312 
018.5  	 -0.40226  	 00.33494  	 -0.23575  	 -0943002 
018.6  	 -0.36951  	 00.30805  	 -0.26891  	 -1075631 
018.7  	 -0.34029  	 00.27804  	 -0.30011  	 -1200426 
018.8  	 -0.31626  	 00.24515  	 -0.32891  	 -1315656 
018.9  	 -0.29900  	 00.20966  	 -0.35491  	 -1419653 
019.0  	 -0.28993  	 00.17188  	 -0.37771  	 -1510843 
019.1  	 -0.29018  	 00.13219  	 -0.39694  	 -1587761 
019.2  	 -0.30055  	 00.09096  	 -0.41227  	 -1649086 
019.3  	 -0.32144  	 00.04862  	 -0.42342  	 -1693665 
019.4  	 -0.35280  	 00.00561  	 -0.43014  	 -1720546 
019.5  	 -0.39408  	 -0.03762  	 -0.43225  	 -1729005 
019.6  	 -0.44426  	 -0.08058  	 -0.42965  	 -1718581 
019.7  	 -0.50184  	 -0.12281  	 -0.42228  	 -1689104 
019.8  	 -0.56492  	 -0.16383  	 -0.41018  	 -1640716 
019.9  	 -0.63124  	 -0.20317  	 -0.39347  	 -1573896 
020.0  	 -0.69827  	 -0.24041  	 -0.37236  	 -1489459 
020.1  	 -0.76335  	 -0.27512  	 -0.34714  	 -1388555 
020.2  	 -0.82378  	 -0.30694  	 -0.31816  	 -1272650 
020.3  	 -0.87693  	 -0.33553  	 -0.28587  	 -1143497 
020.4  	 -0.92041  	 -0.36061  	 -0.25077  	 -1003090 
020.5  	 -0.95215  	 -0.38195  	 -0.21340  	 -0853609 
020.6  	 -0.97049  	 -0.39938  	 -0.17434  	 -0697366 
020.7  	 -0.97427  	 -0.41280  	 -0.13418  	 -0536732 
020.8  	 -0.96292  	 -0.42215  	 -0.09352  	 -0374076 
020.9  	 -0.93638  	 -0.42744  	 -0.05293  	 -0211704 
021.0  	 -0.89523  	 -0.42874  	 -0.01295  	 -0051800 
021.1  	 -0.84052  	 -0.42615  	 00.02590  	 00103618 
021.2  	 -0.77383  	 -0.41983  	 00.06318  	 00252735 
021.3  	 -0.69708  	 -0.40998  	 00.09849  	 00393966 
021.4  	 -0.61250  	 -0.39683  	 00.13149  	 00525971 
021.5  	 -0.52248  	 -0.38064  	 00.16192  	 00647662 
021.6  	 -0.42944  	 -0.36168  	 00.18955  	 00758196 
021.7  	 -0.33577  	 -0.34026  	 00.21424  	 00856970 
021.8  	 -0.24365  	 -0.31667  	 00.23590  	 00943604 
021.9  	 -0.15498  	 -0.29122  	 00.25448  	 01017920 
022.0  	 -0.07135  	 -0.26422  	 00.26998  	 01079926 
022.1  	 00.00607  	 -0.23598  	 00.28245  	 01129787 
022.2  	 00.07650  	 -0.20678  	 00.29195  	 01167806 
022.3  	 00.13959  	 -0.17692  	 00.29860  	 01194401 
022.4  	 00.19535  	 -0.14667  	 00.30252  	 01210085 
022.5  	 00.24412  	 -0.11629  	 00.30386  	 01215445 
022.6  	 00.28650  	 -0.08601  	 00.30278  	 01211126 
022.7  	 00.32327  	 -0.05606  	 00.29945  	 01197815 
022.8  	 00.35530  	 -0.02666  	 00.29406  	 01176230 
022.9  	 00.38346  	 00.00202  	 00.28678  	 01147104 
023.0  	 00.40858  	 00.02980  	 00.27779  	 01111178 
023.1  	 00.43134  	 00.05653  	 00.26730  	 01069192 
023.2  	 00.45225  	 00.08208  	 00.25547  	 01021876 
023.3  	 00.47163  	 00.10633  	 00.24249  	 00969945 
023.4  	 00.48959  	 00.12918  	 00.22852  	 00914091 
023.5  	 00.50603  	 00.15055  	 00.21374  	 00854979 
023.6  	 00.52071  	 00.17038  	 00.19831  	 00793240 
023.7  	 00.53326  	 00.18862  	 00.18237  	 00729470 
023.8  	 00.54326  	 00.20523  	 00.16606  	 00664221 
023.9  	 00.55027  	 00.22018  	 00.14950  	 00598002 
024.0  	 00.55394  	 00.23346  	 00.13282  	 00531273 
024.1  	 00.55399  	 00.24507  	 00.11611  	 00464442 
024.2  	 00.55032  	 00.25502  	 00.09947  	 00397866 
024.3  	 00.54302  	 00.26331  	 00.08296  	 00331851 
024.4  	 00.53234  	 00.26998  	 00.06666  	 00266647 
024.5  	 00.51875  	 00.27504  	 00.05061  	 00202457 
024.6  	 00.50288  	 00.27853  	 00.03486  	 00139434 
024.7  	 00.48546  	 00.28047  	 00.01942  	 00077685 
024.8  	 00.46733  	 00.28090  	 00.00432  	 00017277 
024.9  	 00.44935  	 00.27986  	 -0.01044  	 -0041755 
025.0  	 00.43231  	 00.27737  	 -0.02485  	 -0099403 
025.1  	 00.41695  	 00.27348  	 -0.03892  	 -0155681 
025.2  	 00.40382  	 00.26821  	 -0.05265  	 -0210608 
025.3  	 00.39330  	 00.26161  	 -0.06605  	 -0264208 
025.4  	 00.38555  	 00.25370  	 -0.07912  	 -0316493 
025.5  	 00.38048  	 00.24451  	 -0.09186  	 -0367455 
025.6  	 00.37778  	 00.23408  	 -0.10426  	 -0417059 
025.7  	 00.37693  	 00.22245  	 -0.11631  	 -0465229 
025.8  	 00.37720  	 00.20966  	 -0.12796  	 -0511845 
025.9  	 00.37776  	 00.19574  	 -0.13918  	 -0556733 
026.0  	 00.37765  	 00.18075  	 -0.14992  	 -0599662 
026.1  	 00.37589  	 00.16474  	 -0.16009  	 -0640343 
026.2  	 00.37151  	 00.14778  	 -0.16961  	 -0678427 
026.3  	 00.36361  	 00.12994  	 -0.17838  	 -0713509 
026.4  	 00.35139  	 00.11131  	 -0.18628  	 -0745132 
026.5  	 00.33419  	 00.09199  	 -0.19320  	 -0772799 
026.6  	 00.31155  	 00.07209  	 -0.19899  	 -0795979 
026.7  	 00.28315  	 00.05174  	 -0.20353  	 -0814128 
026.8  	 00.24890  	 00.03107  	 -0.20667  	 -0826699 
026.9  	 00.20888  	 00.01024  	 -0.20829  	 -0833165 
027.0  	 00.16334  	 -0.01058  	 -0.20826  	 -0833036 
027.1  	 00.11273  	 -0.03123  	 -0.20647  	 -0825886 
027.2  	 00.05761  	 -0.05152  	 -0.20284  	 -0811371 
027.3  	 -0.00129  	 -0.07125  	 -0.19731  	 -0789253 
027.4  	 -0.06313  	 -0.09023  	 -0.18985  	 -0759416 
027.5  	 -0.12696  	 -0.10828  	 -0.18047  	 -0721891 
027.6  	 -0.19172  	 -0.12520  	 -0.16922  	 -0676864 
027.7  	 -0.25628  	 -0.14082  	 -0.15617  	 -0624689 
027.8  	 -0.31939  	 -0.15497  	 -0.14147  	 -0565887 
027.9  	 -0.37976  	 -0.16749  	 -0.12529  	 -0501152 
028.0  	 -0.43605  	 -0.17828  	 -0.10783  	 -0431334 
028.1  	 -0.48688  	 -0.18721  	 -0.08936  	 -0357424 
028.2  	 -0.53089  	 -0.19423  	 -0.07013  	 -0280532 
028.3  	 -0.56678  	 -0.19927  	 -0.05047  	 -0201860 
028.4  	 -0.59331  	 -0.20234  	 -0.03067  	 -0122665 
028.5  	 -0.60945  	 -0.20345  	 -0.01106  	 -0044226 
028.6  	 -0.61435  	 -0.20264  	 00.00805  	 00032194 
028.7  	 -0.60748  	 -0.20001  	 00.02635  	 00105385 
028.8  	 -0.58862  	 -0.19565  	 00.04356  	 00174224 
028.9  	 -0.55798  	 -0.18971  	 00.05943  	 00237709 
029.0  	 -0.51617  	 -0.18233  	 00.07375  	 00294982 
029.1  	 -0.46426  	 -0.17370  	 00.08634  	 00345358 
029.2  	 -0.40378  	 -0.16399  	 00.09708  	 00388331 
029.3  	 -0.33662  	 -0.15340  	 00.10590  	 00423593 
029.4  	 -0.26508  	 -0.14213  	 00.11276  	 00451032 
029.5  	 -0.19165  	 -0.13036  	 00.11768  	 00470726 
029.6  	 -0.11903  	 -0.11828  	 00.12073  	 00482939 
029.7  	 -0.04991  	 -0.10608  	 00.12202  	 00488096 
029.8  	 00.01313  	 -0.09391  	 00.12169  	 00486769 
029.9  	 00.06778  	 -0.08192  	 00.11991  	 00479646 
030.0  	 00.11211  	 -0.07023  	 00.11688  	 00467501 
030.1  	 00.14470  	 -0.05895  	 00.11279  	 00451165 
030.2  	 00.16477  	 -0.04817  	 00.10787  	 00431496 
030.3  	 00.17217  	 -0.03793  	 00.10234  	 00409343 
030.4  	 00.16747  	 -0.02830  	 00.09638  	 00385523 
030.5  	 00.15188  	 -0.01928  	 00.09020  	 00360797 
030.6  	 00.12724  	 -0.01088  	 00.08396  	 00335846 
030.7  	 00.09589  	 -0.00310  	 00.07782  	 00311262 
030.8  	 00.06049  	 00.00409  	 00.07188  	 00287537 
030.9  	 00.02394  	 00.01072  	 00.06626  	 00265059 
031.0  	 -0.01087  	 00.01682  	 00.06103  	 00244113 
031.1  	 -0.04125  	 00.02244  	 00.05622  	 00224888 
031.2  	 -0.06483  	 00.02763  	 00.05187  	 00207484 
031.3  	 -0.07976  	 00.03243  	 00.04798  	 00191922 
031.4  	 -0.08486  	 00.03688  	 00.04454  	 00178160 
031.5  	 -0.07960  	 00.04103  	 00.04153  	 00166102 
031.6  	 -0.06426  	 00.04492  	 00.03890  	 00155613 
031.7  	 -0.03981  	 00.04859  	 00.03663  	 00146530 
031.8  	 -0.00788  	 00.05205  	 00.03467  	 00138675 
031.9  	 00.02937  	 00.05535  	 00.03297  	 00131862 
032.0  	 00.06939  	 00.05850  	 00.03148  	 00125904 
032.1  	 00.10944  	 00.06151  	 00.03016  	 00120620 
032.2  	 00.14681  	 00.06441  	 00.02896  	 00115837 
032.3  	 00.17897  	 00.06719  	 00.02785  	 00111390 
032.4  	 00.20379  	 00.06987  	 00.02678  	 00107125 
032.5  	 00.21971  	 00.07245  	 00.02572  	 00102899 
032.6  	 00.22580  	 00.07491  	 00.02464  	 00098575 
032.7  	 00.22189  	 00.07726  	 00.02351  	 00094024 
032.8  	 00.20853  	 00.07949  	 00.02228  	 00089125 
032.9  	 00.18699  	 00.08158  	 00.02094  	 00083759 
033.0  	 00.15913  	 00.08353  	 00.01945  	 00077814 
033.1  	 00.12726  	 00.08531  	 00.01780  	 00071181 
033.2  	 00.09400  	 00.08690  	 00.01594  	 00063758 
033.3  	 00.06206  	 00.08829  	 00.01386  	 00055453 
033.4  	 00.03401  	 00.08944  	 00.01155  	 00046181 
033.5  	 00.01212  	 00.09034  	 00.00897  	 00035872 
033.6  	 -0.00180  	 00.09095  	 00.00612  	 00024473 
033.7  	 -0.00656  	 00.09125  	 00.00299  	 00011949 
033.8  	 -0.00168  	 00.09121  	 -0.00043  	 -0001713 
033.9  	 00.01261  	 00.09079  	 -0.00413  	 -0016504 
034.0  	 00.03536  	 00.08998  	 -0.00810  	 -0032387 
034.1  	 00.06500  	 00.08875  	 -0.01233  	 -0049303 
034.2  	 00.09947  	 00.08707  	 -0.01679  	 -0067165 
034.3  	 00.13636  	 00.08493  	 -0.02147  	 -0085863 
034.4  	 00.17311  	 00.08229  	 -0.02632  	 -0105265 
034.5  	 00.20721  	 00.07916  	 -0.03130  	 -0125220 
034.6  	 00.23639  	 00.07553  	 -0.03639  	 -0145561 
034.7  	 00.25876  	 00.07137  	 -0.04153  	 -0166110 
034.8  	 00.27301  	 00.06671  	 -0.04667  	 -0186680 
034.9  	 00.27843  	 00.06153  	 -0.05177  	 -0207083 
035.0  	 00.27499  	 00.05585  	 -0.05678  	 -0227131 
035.1  	 00.26331  	 00.04968  	 -0.06166  	 -0246638 
035.2  	 00.24460  	 00.04305  	 -0.06636  	 -0265423 
035.3  	 00.22052  	 00.03597  	 -0.07083  	 -0283312 
035.4  	 00.19307  	 00.02846  	 -0.07503  	 -0300138 
035.5  	 00.16436  	 00.02057  	 -0.07893  	 -0315737 
035.6  	 00.13647  	 00.01232  	 -0.08249  	 -0329950 
035.7  	 00.11125  	 00.00375  	 -0.08566  	 -0342622 
035.8  	 00.09015  	 -0.00509  	 -0.08840  	 -0353595 
035.9  	 00.07411  	 -0.01415  	 -0.09068  	 -0362713 
036.0  	 00.06347  	 -0.02340  	 -0.09245  	 -0369815 
036.1  	 00.05795  	 -0.03277  	 -0.09369  	 -0374741 
036.2  	 00.05665  	 -0.04220  	 -0.09433  	 -0377326 
036.3  	 00.05814  	 -0.05164  	 -0.09435  	 -0377409 
036.4  	 00.06058  	 -0.06101  	 -0.09371  	 -0374834 
036.5  	 00.06185  	 -0.07024  	 -0.09236  	 -0369454 
036.6  	 00.05976  	 -0.07927  	 -0.09028  	 -0361138 
036.7  	 00.05220  	 -0.08802  	 -0.08744  	 -0349774 
036.8  	 00.03735  	 -0.09640  	 -0.08382  	 -0335282 
036.9  	 00.01380  	 -0.10434  	 -0.07940  	 -0317613 
037.0  	 -0.01928  	 -0.11176  	 -0.07419  	 -0296755 
037.1  	 -0.06211  	 -0.11858  	 -0.06819  	 -0272741 
037.2  	 -0.11422  	 -0.12472  	 -0.06141  	 -0245646 
037.3  	 -0.17454  	 -0.13011  	 -0.05390  	 -0215596 
037.4  	 -0.24139  	 -0.13468  	 -0.04569  	 -0182760 
037.5  	 -0.31266  	 -0.13836  	 -0.03684  	 -0147356 
037.6  	 -0.38594  	 -0.14110  	 -0.02741  	 -0109643 
037.7  	 -0.45868  	 -0.14285  	 -0.01748  	 -0069922 
037.8  	 -0.52836  	 -0.14356  	 -0.00713  	 -0028527 
037.9  	 -0.59269  	 -0.14321  	 00.00354  	 00014174 
038.0  	 -0.64973  	 -0.14176  	 00.01445  	 00057790 
038.1  	 -0.69805  	 -0.13921  	 00.02548  	 00101909 
038.2  	 -0.73672  	 -0.13556  	 00.03653  	 00146105 
038.3  	 -0.76543  	 -0.13081  	 00.04748  	 00189939 
038.4  	 -0.78441  	 -0.12499  	 00.05824  	 00232969 
038.5  	 -0.79440  	 -0.11812  	 00.06869  	 00274753 
038.6  	 -0.79652  	 -0.11025  	 00.07871  	 00314853 
038.7  	 -0.79214  	 -0.10143  	 00.08821  	 00352837 
038.8  	 -0.78275  	 -0.09172  	 00.09707  	 00388288 
038.9  	 -0.76978  	 -0.08120  	 00.10520  	 00420807 
039.0  	 -0.75447  	 -0.06995  	 00.11250  	 00450015 
039.1  	 -0.73777  	 -0.05806  	 00.11889  	 00475561 
039.2  	 -0.72022  	 -0.04563  	 00.12428  	 00497124 
039.3  	 -0.70190  	 -0.03277  	 00.12860  	 00514419 
039.4  	 -0.68249  	 -0.01959  	 00.13180  	 00527203 
039.5  	 -0.66122  	 -0.00621  	 00.13382  	 00535275 
039.6  	 -0.63703  	 00.00725  	 00.13462  	 00538486 
039.7  	 -0.60864  	 00.02067  	 00.13418  	 00536739 
039.8  	 -0.57470  	 00.03392  	 00.13250  	 00529990 
039.9  	 -0.53389  	 00.04688  	 00.12956  	 00518253 
040.0  	 -0.48517  	 00.05942  	 00.12540  	 00501595 
040.1  	 -0.42774  	 00.07142  	 00.12003  	 00480139 
040.2  	 -0.36130  	 00.08277  	 00.11351  	 00454057 
040.3  	 -0.28597  	 00.09336  	 00.10589  	 00423567 
040.4  	 -0.20239  	 00.10308  	 00.09723  	 00388930 
040.5  	 -0.11167  	 00.11184  	 00.08761  	 00350439 
